-- Subscribed to OrderBook! --

-- Subscribed to OrderBook! --

2017-12-13 01:22:23.508337 ETH-BTC bid: 12.233 @ 0.04	ask: 60.239 @ 0.04
2017-12-13 01:22:23.861925 ETH-BTC bid: 12.233 @ 0.04	ask: 28.461 @ 0.04
2017-12-13 01:22:23.922400 ETH-BTC bid: 12.233 @ 0.04	ask: 29.078 @ 0.04
2017-12-13 01:22:23.926226 ETH-BTC bid: 12.233 @ 0.04	ask: 59.239 @ 0.04
2017-12-13 01:22:25.116476 ETH-BTC bid: 12.233 @ 0.04	ask: 29.078 @ 0.04
2017-12-13 01:22:25.237453 ETH-BTC bid: 12.233 @ 0.04	ask: 39.350 @ 0.04
-- Subscribed to OrderBook! --

2017-12-13 01:22:25.576726 ETH-BTC bid: 12.233 @ 0.04	ask: 79.760 @ 0.04
2017-12-13 01:22:25.630742 ETH-BTC bid: 12.233 @ 0.04	ask: 74.987 @ 0.04
2017-12-13 01:22:25.907992 ETH-BTC bid: 12.233 @ 0.04	ask: 79.760 @ 0.04
2017-12-13 01:22:26.791894 ETH-USD bid: 59.990 @ 666.90	ask: 79.752 @ 666.91
2017-12-13 01:22:26.893811 ETH-USD bid: 59.990 @ 666.90	ask: 98.964 @ 666.91
2017-12-13 01:22:26.900039 ETH-USD bid: 57.990 @ 666.90	ask: 98.964 @ 666.91
2017-12-13 01:22:26.941562 ETH-USD bid: 62.990 @ 666.90	ask: 98.964 @ 666.91
2017-12-13 01:22:26.976560 ETH-USD bid: 62.990 @ 666.90	ask: 106.964 @ 666.91
2017-12-13 01:22:26.993056 ETH-USD bid: 55.895 @ 666.90	ask: 106.964 @ 666.91
2017-12-13 01:22:27.080597 ETH-USD bid: 55.895 @ 666.90	ask: 105.962 @ 666.91
2017-12-13 01:22:27.150393 ETH-USD bid: 55.895 @ 666.90	ask: 115.962 @ 666.91
2017-12-13 01:22:27.227906 ETH-USD bid: 51.304 @ 666.90	ask: 115.962 @ 666.91
2017-12-13 01:22:27.259420 ETH-USD bid: 51.304 @ 666.90	ask: 115.813 @ 666.91
2017-12-13 01:22:27.362419 ETH-USD bid: 51.304 @ 666.90	ask: 135.053 @ 666.91
2017-12-13 01:22:27.376013 ETH-USD bid: 50.235 @ 666.90	ask: 135.053 @ 666.91
2017-12-13 01:22:27.378111 ETH-USD bid: 50.235 @ 666.90	ask: 115.813 @ 666.91
2017-12-13 01:22:27.384761 ETH-USD bid: 50.235 @ 666.90	ask: 135.053 @ 666.91
2017-12-13 01:22:27.399841 ETH-USD bid: 50.235 @ 666.90	ask: 137.053 @ 666.91
